Date,Currency,Mean,Buy,Sell
18/01/2010,S FRANC,73.9041,73.7851,74.0231
18/01/2010,JPY(100),83.4401,83.2935,83.5866
18/01/2010,SW KRONER,10.7638,10.7399,10.7876
18/01/2010,NOR KRONER,13.3972,13.3741,13.4202
18/01/2010,DAN KRONER,14.6487,14.6262,14.6711
18/01/2010,IND RUPEE,1.6609,1.6587,1.6632
18/01/2010,HONGKONG $,9.774,9.7612,9.7868
18/01/2010,SINGAPORE $,54.5902,54.4947,54.6856
18/01/2010,SAUDI RIYAL,20.2306,20.2047,20.2566
18/01/2010,CHINESE YUAN,11.113,11.0983,11.1276
18/01/2010,AUSTRALIAN $,69.8517,69.7534,69.95
19/01/2010,US DOLLAR,76.0528,75.9583,76.1472
19/01/2010,STG POUND,124.818,124.646,124.99
19/01/2010,EURO,109.504,109.353,109.655
19/01/2010,SA RAND,10.2679,10.2437,10.2921
19/01/2010,KES/USHS,25.489,25.3719,25.6061
19/01/2010,KES/TSHS,17.5997,17.545,17.6544
19/01/2010,AE DIRHAM,20.7059,20.6718,20.7401
19/01/2010,CAN $,74.0812,73.9743,74.1881
19/01/2010,S FRANC,74.2629,74.1492,74.3767
19/01/2010,JPY(100),84.0291,83.8887,84.1694
19/01/2010,SW KRONER,10.8414,10.8206,10.8622
19/01/2010,NOR KRONER,13.4745,13.4509,13.4981
19/01/2010,DAN KRONER,14.7145,14.6913,14.7378
19/01/2010,IND RUPEE,1.6668,1.6646,1.669
19/01/2010,HONGKONG $,9.7944,9.7816,9.8072
19/01/2010,SINGAPORE $,54.7892,54.6935,54.8848
19/01/2010,SAUDI RIYAL,20.2753,20.2448,20.3059
19/01/2010,CHINESE YUAN,11.1407,11.126,11.1553
19/01/2010,AUSTRALIAN $,70.269,70.1627,70.3753
20/01/2010,US DOLLAR,75.9911,75.8722,76.11
20/01/2010,STG POUND,123.829,123.661,123.998
20/01/2010,EURO,107.865,107.721,108.009
20/01/2010,SA RAND,10.2076,10.1824,10.2328
20/01/2010,KES/USHS,25.7927,25.6865,25.8988
20/01/2010,KES/TSHS,17.7785,17.7112,17.8458
20/01/2010,AE DIRHAM,20.6891,20.6562,20.7221
20/01/2010,CAN $,73.38,73.2723,73.4878
20/01/2010,S FRANC,73.2322,73.12,73.3444
20/01/2010,JPY(100),83.2892,83.1718,83.4065
20/01/2010,SW KRONER,10.6805,10.6567,10.7043
20/01/2010,NOR KRONER,13.2581,13.2355,13.2807
20/01/2010,DAN KRONER,14.4974,14.472,14.5229
20/01/2010,IND RUPEE,1.6547,1.6523,1.6571
20/01/2010,HONGKONG $,9.7871,9.7717,9.8026
20/01/2010,SINGAPORE $,54.4467,54.3342,54.5591
20/01/2010,SAUDI RIYAL,20.2619,20.2294,20.2944
20/01/2010,CHINESE YUAN,11.1303,11.1118,11.1489
20/01/2010,AUSTRALIAN $,69.6421,69.5217,69.7624
21/01/2010,US DOLLAR,75.9811,75.8922,76.07
21/01/2010,STG POUND,123.603,123.442,123.764
21/01/2010,EURO,107.109,106.97,107.249
21/01/2010,SA RAND,10.1024,10.0674,10.1374
21/01/2010,KES/USHS,25.8618,25.7657,25.9579
21/01/2010,KES/TSHS,17.9125,17.8257,17.9992
21/01/2010,AE DIRHAM,20.6858,20.6611,20.7106
21/01/2010,CAN $,72.6288,72.5193,72.7384
21/01/2010,S FRANC,72.7385,72.6299,72.8471
21/01/2010,JPY(100),82.9734,82.8776,83.0693
21/01/2010,SW KRONER,10.5487,10.53,10.5674
21/01/2010,NOR KRONER,13.157,13.1342,13.1798
21/01/2010,DAN KRONER,14.3915,14.3705,14.4124
21/01/2010,IND RUPEE,1.6529,1.6506,1.6551
21/01/2010,HONGKONG $,9.7798,9.7682,9.7914
21/01/2010,SINGAPORE $,54.3149,54.2281,54.4018
21/01/2010,SAUDI RIYAL,20.2603,20.232,20.2886
21/01/2010,CHINESE YUAN,11.1299,11.1168,11.143
